,boro_code,First Borough Name,2020 Census Tract,ED_BOE,ED_number_voters,censusTract2020_num_voters,tract_to_ed_ratio,tract_boro
0,5,Bronx,200,85002,802,2702,0.29681717246484085,5_200
1,5,Bronx,200,85003,780,2702,0.28867505551443373,5_200
2,5,Bronx,200,85004,1120,2702,0.41450777202072536,5_200
3,5,Bronx,400,85001,1295,3557,0.36407084621872365,5_400
4,5,Bronx,400,85002,650,3557,0.18273826258082654,5_400
5,5,Bronx,400,85003,705,3557,0.19820073095305032,5_400
6,5,Bronx,400,85004,547,3557,0.15378127635648017,5_400
7,5,Bronx,400,85005,360,3557,0.10120888389091931,5_400
8,5,Bronx,1600,85009,466,3445,0.13526850507982582,5_1600
9,5,Bronx,1600,87053,385,3445,0.11175616835994194,5_1600
10,5,Bronx,1600,87054,1552,3445,0.45050798258345426,5_1600
11,5,Bronx,1600,87055,1042,3445,0.30246734397677794,5_1600
12,5,Bronx,1901,84051,912,912,1.0,5_1901
13,5,Bronx,1902,84052,219,466,0.4699570815450644,5_1902
14,5,Bronx,1902,84053,247,466,0.5300429184549357,5_1902
15,5,Bronx,1903,84053,2,2,1.0,5_1903
16,5,Bronx,2001,85010,1092,3251,0.3358966471854814,5_2001
17,5,Bronx,2001,85012,1398,3251,0.43002153183635805,5_2001
18,5,Bronx,2001,85013,761,3251,0.23408182097816058,5_2001
19,5,Bronx,2002,85009,1127,2375,0.4745263157894737,5_2002
20,5,Bronx,2002,85011,972,2375,0.40926315789473683,5_2002
21,5,Bronx,2002,85013,276,2375,0.11621052631578947,5_2002
22,5,Bronx,2300,84042,873,2863,0.30492490394690885,5_2300
23,5,Bronx,2300,84043,1390,2863,0.4855047153335662,5_2300
24,5,Bronx,2300,84044,600,2863,0.20957038071952497,5_2300
25,5,Bronx,2400,85002,2,2,1.0,5_2400
26,5,Bronx,2500,84037,496,2646,0.1874527588813303,5_2500
27,5,Bronx,2500,84038,1200,2646,0.45351473922902497,5_2500
28,5,Bronx,2500,84041,950,2646,0.35903250188964475,5_2500
29,5,Bronx,2701,84036,1056,1903,0.5549132947976878,5_2701
30,5,Bronx,2701,84037,847,1903,0.44508670520231214,5_2701
31,5,Bronx,2702,84031,442,2378,0.18587047939444912,5_2702
32,5,Bronx,2702,84035,1356,2378,0.5702270815811606,5_2702
33,5,Bronx,2702,84036,580,2378,0.24390243902439024,5_2702
34,5,Bronx,2800,85018,60,4476,0.013404825737265416,5_2800
35,5,Bronx,2800,85051,1663,4476,0.3715370866845398,5_2800
36,5,Bronx,2800,85052,1620,4476,0.36193029490616624,5_2800
37,5,Bronx,2800,85053,1133,4476,0.2531277926720286,5_2800
38,5,Bronx,3100,84029,1236,1237,0.9991915925626516,5_3100
39,5,Bronx,3100,84031,1,1237,0.0008084074373484236,5_3100
40,5,Bronx,3300,84031,450,1983,0.22692889561270801,5_3300
41,5,Bronx,3300,84034,1533,1983,0.773071104387292,5_3300
42,5,Bronx,3500,84029,239,2033,0.11756025577963601,5_3500
43,5,Bronx,3500,84030,1346,2033,0.6620757501229709,5_3500
44,5,Bronx,3500,84031,448,2033,0.22036399409739302,5_3500
45,5,Bronx,3700,84031,163,163,1.0,5_3700
46,5,Bronx,3800,85011,496,764,0.6492146596858639,5_3800
47,5,Bronx,3800,87055,268,764,0.3507853403141361,5_3800
48,5,Bronx,3900,84038,159,2739,0.05805038335158817,5_3900
49,5,Bronx,3900,84039,251,2739,0.09163928441036875,5_3900
50,5,Bronx,3900,84040,1341,2739,0.4895947426067908,5_3900
51,5,Bronx,3900,84041,451,2739,0.1646586345381526,5_3900
52,5,Bronx,3900,84042,293,2739,0.10697334793720335,5_3900
53,5,Bronx,3900,84044,244,2739,0.08908360715589632,5_3900
54,5,Bronx,4001,87041,104,849,0.12249705535924617,5_4001
55,5,Bronx,4001,87042,189,849,0.2226148409893993,5_4001
56,5,Bronx,4001,87043,556,849,0.6548881036513545,5_4001
57,5,Bronx,4100,84033,576,3596,0.16017797552836485,5_4100
58,5,Bronx,4100,84039,1132,3596,0.3147942157953281,5_4100
59,5,Bronx,4100,84045,646,3596,0.1796440489432703,5_4100
60,5,Bronx,4100,84046,1242,3596,0.3453837597330367,5_4100
61,5,Bronx,4200,85014,1563,4831,0.32353549989650177,5_4200
62,5,Bronx,4200,85015,1547,4831,0.3202235561995446,5_4200
63,5,Bronx,4200,85016,1225,4831,0.2535706892982819,5_4200
64,5,Bronx,4200,85017,496,4831,0.10267025460567171,5_4200
65,5,Bronx,4300,84032,1603,3087,0.5192743764172335,5_4300
66,5,Bronx,4300,84033,889,3087,0.28798185941043086,5_4300
67,5,Bronx,4300,84045,595,3087,0.1927437641723356,5_4300
68,5,Bronx,4400,85019,1341,3096,0.4331395348837209,5_4400
69,5,Bronx,4400,85020,1435,3096,0.4635012919896641,5_4400
70,5,Bronx,4400,87041,320,3096,0.10335917312661498,5_4400
71,5,Bronx,4600,85013,569,1094,0.520109689213894,5_4600
72,5,Bronx,4600,85017,525,1094,0.47989031078610606,5_4600
73,5,Bronx,4800,85047,648,1669,0.38825644098262435,5_4800
74,5,Bronx,4800,85048,333,1669,0.19952067106051527,5_4800
75,5,Bronx,4800,85049,688,1669,0.4122228879568604,5_4800
76,5,Bronx,5001,85045,481,1804,0.26662971175166295,5_5001
77,5,Bronx,5001,85046,878,1804,0.4866962305986696,5_5001
78,5,Bronx,5001,85047,445,1804,0.2466740576496674,5_5001
79,5,Bronx,5002,85044,385,2043,0.18844836025452766,5_5002
80,5,Bronx,5002,85045,357,2043,0.17474302496328928,5_5002
81,5,Bronx,5002,85046,266,2043,0.13020068526676457,5_5002
82,5,Bronx,5002,85047,84,2043,0.041116005873715125,5_5002
83,5,Bronx,5002,85048,951,2043,0.4654919236417034,5_5002
84,5,Bronx,5100,84017,86,4660,0.018454935622317595,5_5100
85,5,Bronx,5100,84043,8,4660,0.0017167381974248926,5_5100
86,5,Bronx,5100,84044,84,4660,0.018025751072961373,5_5100
87,5,Bronx,5100,84047,859,4660,0.18433476394849785,5_5100
88,5,Bronx,5100,84048,1461,4660,0.31351931330472105,5_5100
89,5,Bronx,5100,84049,1000,4660,0.2145922746781116,5_5100
90,5,Bronx,5100,84050,1045,4660,0.22424892703862662,5_5100
91,5,Bronx,5100,84051,117,4660,0.025107296137339054,5_5100
92,5,Bronx,5200,85044,795,997,0.7973921765295887,5_5200
93,5,Bronx,5200,85045,202,997,0.20260782347041123,5_5200
94,5,Bronx,5300,77017,1190,2339,0.5087644292432664,5_5300
95,5,Bronx,5300,77018,1149,2339,0.49123557075673363,5_5300
96,5,Bronx,5400,85043,1067,2472,0.43163430420711973,5_5400
97,5,Bronx,5400,85050,1405,2472,0.5683656957928802,5_5400
98,5,Bronx,5600,85023,809,1259,0.6425734710087371,5_5600
